uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
1000000	|		|	Exampleroot	|	no rank	|	ncbi:10239,gbif:8	|		|		|	
999999	|	1000000	|	Nototuexample	|	no rank	|		|		|	not_otu	|	
1001	|	1000000	|	ABC	|	no rank	|		|		|		|	
100	|	1001	|	A	|	no rank	|		|		|	extinct	|	
200	|	1001	|	B	|	no rank	|		|		|		|	
300	|	1001	|	C	|	no rank	|		|		|		|	
1	|	100	|	A1	|	no rank	|		|		|		|	
2	|	100	|	A2	|	no rank	|		|		|	unclassified	|	
3	|	100	|	A3	|	no rank	|		|		|	unclassified	|	
11	|	200	|	B1	|	no rank	|		|		|	extinct	|	
12	|	200	|	B2	|	no rank	|		|		|	extinct	|	
13	|	200	|	B3	|	no rank	|		|		|	extinct	|	
21	|	300	|	C1	|	no rank	|		|		|		|	
22	|	300	|	C2	|	no rank	|		|		|	unclassified	|	
23	|	300	|	C3	|	no rank	|		|		|		|	
