name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
euphyllophytes	|	1007992	|	synonym	|	euphyllophytes (synonym for Euphyllophyta)	|	ncbi:78536	|	
Asteridae	|	1008294	|	equivalent name	|	Asteridae (synonym for asterids)	|	ncbi:71274	|	
Pteridophyta	|	10210	|	synonym	|	Pteridophyta (synonym for Tracheophyta)	|	gbif:7707728,irmng:227	|	
Equisetophyta	|	10210	|	synonym	|	Equisetophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Gnetophyta	|	10210	|	synonym	|	Gnetophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Cycadophyta	|	10210	|	synonym	|	Cycadophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Lycopodiophyta	|	10210	|	synonym	|	Lycopodiophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Ginkgophyta	|	10210	|	synonym	|	Ginkgophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Psilophyta	|	10210	|	synonym	|	Psilophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Magnoliophyta	|	10210	|	synonym	|	Magnoliophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Eodelopterum priscum	|	10210	|	synonym	|	Eodelopterum priscum (synonym for Tracheophyta)	|	gbif:7707728	|	
Legnophora	|	10210	|	synonym	|	Legnophora (synonym for Tracheophyta)	|	gbif:7707728	|	
Legnophora girardi	|	10210	|	synonym	|	Legnophora girardi (synonym for Tracheophyta)	|	gbif:7707728	|	
Arthrophyta	|	10210	|	synonym	|	Arthrophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Coniferophyta	|	10210	|	synonym	|	Coniferophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Eodelopterum	|	10210	|	synonym	|	Eodelopterum (synonym for Tracheophyta)	|	gbif:7707728	|	
Polypodiophyta	|	10210	|	synonym	|	Polypodiophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Pterophyta	|	10210	|	synonym	|	Pterophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Microphyllophyta	|	10210	|	synonym	|	Microphyllophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Psilotophyta	|	10210	|	synonym	|	Psilotophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Campanulales	|	1042120	|	includes	|	Campanulales (synonym for Asterales)	|	ncbi:4209,irmng:12186	|	
Monocotyledoneae	|	1058517	|	synonym	|	Monocotyledoneae (synonym for Liliopsida)	|	ncbi:4447	|	
Forficularia problematica	|	1062253	|	synonym	|	Forficularia problematica (synonym for Insecta)	|	gbif:216	|	
Carabus winkleri	|	1062253	|	synonym	|	Carabus winkleri (synonym for Insecta)	|	gbif:216	|	
Cercopidium schaefferi	|	1062253	|	synonym	|	Cercopidium schaefferi (synonym for Insecta)	|	gbif:216	|	
Phaneroptera striata	|	1062253	|	synonym	|	Phaneroptera striata (synonym for Insecta)	|	gbif:216	|	
Nematus cretaceus	|	1062253	|	synonym	|	Nematus cretaceus (synonym for Insecta)	|	gbif:216	|	
Termes fossilis	|	1062253	|	synonym	|	Termes fossilis (synonym for Insecta)	|	gbif:216	|	
Cheilosia dubia	|	1062253	|	synonym	|	Cheilosia dubia (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron anglicanum	|	1062253	|	synonym	|	Palaeodictyopteron anglicanum (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron mazonum	|	1062253	|	synonym	|	Palaeodictyopteron mazonum (synonym for Insecta)	|	gbif:216	|	
Caririephemera marquesi	|	1062253	|	synonym	|	Caririephemera marquesi (synonym for Insecta)	|	gbif:216	|	
Tipularia teyleri	|	1062253	|	synonym	|	Tipularia teyleri (synonym for Insecta)	|	gbif:216	|	
Termes grandaevus	|	1062253	|	synonym	|	Termes grandaevus (synonym for Insecta)	|	gbif:216	|	
Libellulium kaupii	|	1062253	|	synonym	|	Libellulium kaupii (synonym for Insecta)	|	gbif:216	|	
Ideloblattidae	|	1062253	|	synonym	|	Ideloblattidae (synonym for Insecta)	|	gbif:216	|	
Caririephemera	|	1062253	|	synonym	|	Caririephemera (synonym for Insecta)	|	gbif:216	|	
Velia bouatia	|	1062253	|	synonym	|	Velia bouatia (synonym for Insecta)	|	gbif:216	|	
Paroryssus suspectus	|	1062253	|	synonym	|	Paroryssus suspectus (synonym for Insecta)	|	gbif:216	|	
Ephemera meyeri	|	1062253	|	synonym	|	Ephemera meyeri (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron virginianum	|	1062253	|	synonym	|	Palaeodictyopteron virginianum (synonym for Insecta)	|	gbif:216	|	
Leptura primigenia	|	1062253	|	synonym	|	Leptura primigenia (synonym for Insecta)	|	gbif:216	|	
Aphis plana	|	1062253	|	synonym	|	Aphis plana (synonym for Insecta)	|	gbif:216	|	
Anthophorites gaudryi	|	1062253	|	synonym	|	Anthophorites gaudryi (synonym for Insecta)	|	gbif:216	|	
Hemerobius higginsi	|	1062253	|	synonym	|	Hemerobius higginsi (synonym for Insecta)	|	gbif:216	|	
Ephemera deposita	|	1062253	|	synonym	|	Ephemera deposita (synonym for Insecta)	|	gbif:216	|	
Cyclocoris pinguis	|	1062253	|	synonym	|	Cyclocoris pinguis (synonym for Insecta)	|	gbif:216	|	
Hemerobius fossilis	|	1062253	|	synonym	|	Hemerobius fossilis (synonym for Insecta)	|	gbif:216	|	
Aspidothorax dubius	|	1062253	|	synonym	|	Aspidothorax dubius (synonym for Insecta)	|	gbif:216	|	
Mourloniella solenhofensis	|	1062253	|	synonym	|	Mourloniella solenhofensis (synonym for Insecta)	|	gbif:216	|	
Lystra vollenhoveni	|	1062253	|	synonym	|	Lystra vollenhoveni (synonym for Insecta)	|	gbif:216	|	
Hydroporus petefractus	|	1062253	|	synonym	|	Hydroporus petefractus (synonym for Insecta)	|	gbif:216	|	
Corixa mortua	|	1062253	|	synonym	|	Corixa mortua (synonym for Insecta)	|	gbif:216	|	
Anisorhynchus lapideus	|	1062253	|	synonym	|	Anisorhynchus lapideus (synonym for Insecta)	|	gbif:216	|	
Chauliodites minor	|	1062253	|	synonym	|	Chauliodites minor (synonym for Insecta)	|	gbif:216	|	
Gyrophlebia longicollis	|	1062253	|	synonym	|	Gyrophlebia longicollis (synonym for Insecta)	|	gbif:216	|	
Flata haidingeri	|	1062253	|	synonym	|	Flata haidingeri (synonym for Insecta)	|	gbif:216	|	
Palaeodictyopteron latipenne	|	1062253	|	synonym	|	Palaeodictyopteron latipenne (synonym for Insecta)	|	gbif:216	|	
Idomastotermes mysticus	|	1062253	|	synonym	|	Idomastotermes mysticus (synonym for Insecta)	|	gbif:216	|	
Cercopis prisca	|	1062253	|	synonym	|	Cercopis prisca (synonym for Insecta)	|	gbif:216	|	
Bittacus reticulatus	|	1062253	|	synonym	|	Bittacus reticulatus (synonym for Insecta)	|	gbif:216	|	
Chrysopa solenhofensis	|	1062253	|	synonym	|	Chrysopa solenhofensis (synonym for Insecta)	|	gbif:216	|	
Termes peccanae	|	1062253	|	synonym	|	Termes peccanae (synonym for Insecta)	|	gbif:216	|	
Hebeitermes weichangensis	|	1062253	|	synonym	|	Hebeitermes weichangensis (synonym for Insecta)	|	gbif:216	|	
Meganeura vischerae	|	1062253	|	synonym	|	Meganeura vischerae (synonym for Insecta)	|	gbif:216	|	
Lygaeites priscus	|	1062253	|	synonym	|	Lygaeites priscus (synonym for Insecta)	|	gbif:216	|	
Saperdites cristallosus	|	1062253	|	synonym	|	Saperdites cristallosus (synonym for Insecta)	|	gbif:216	|	
Meloe bavaricus	|	1062253	|	synonym	|	Meloe bavaricus (synonym for Insecta)	|	gbif:216	|	
Blattaria dunckeri	|	1062253	|	synonym	|	Blattaria dunckeri (synonym for Insecta)	|	gbif:216	|	
Orthophlebia minuta	|	1062253	|	synonym	|	Orthophlebia minuta (synonym for Insecta)	|	gbif:216	|	
LKM74	|	1064655	|	proparte synonym	|	LKM74 (synonym for Amoebozoa)	|	silva:D28490/#2	|	
LEMD255	|	1064655	|	proparte synonym	|	LEMD255 (synonym for Amoebozoa)	|	silva:D28490/#2	|	
Hypsela	|	1086294	|	includes	|	Hypsela (synonym for Lobelia)	|	ncbi:4382,irmng:1295316	|	
Heterotoma	|	1086294	|	synonym	|	Heterotoma (synonym for Lobelia)	|	gbif:2756426	|	
Enchysia	|	1086294	|	synonym	|	Enchysia (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Palmerella	|	1086294	|	synonym	|	Palmerella (synonym for Lobelia)	|	gbif:2756426	|	
Isolobus	|	1086294	|	synonym	|	Isolobus (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Myopsia	|	1086294	|	synonym	|	Myopsia (synonym for Lobelia)	|	gbif:2756426	|	
Neowimmeria	|	1086294	|	synonym	|	Neowimmeria (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Haynaldia	|	1086294	|	synonym	|	Haynaldia (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Dortmanna	|	1086294	|	synonym	|	Dortmanna (synonym for Lobelia)	|	gbif:2756426,irmng:1083184	|	
Trimeris	|	1086294	|	synonym	|	Trimeris (synonym for Lobelia)	|	gbif:2756426,irmng:1308508	|	
Speirema	|	1086294	|	synonym	|	Speirema (synonym for Lobelia)	|	gbif:2756426	|	
Colensoa	|	1086294	|	synonym	|	Colensoa (synonym for Lobelia)	|	gbif:2756426	|	
Piddingtonia	|	1086294	|	synonym	|	Piddingtonia (synonym for Lobelia)	|	gbif:2756426	|	
Isotoma	|	1086294	|	synonym	|	Isotoma (synonym for Lobelia)	|	gbif:2756426	|	
Mezleria	|	1086294	|	synonym	|	Mezleria (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Tupa	|	1086294	|	synonym	|	Tupa (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Calcaratolobelia	|	1086294	|	synonym	|	Calcaratolobelia (synonym for Lobelia)	|	gbif:2756426,irmng:1452934	|	
Laurentia	|	1086294	|	synonym	|	Laurentia (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Parastranthus	|	1086294	|	synonym	|	Parastranthus (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Rapuntium	|	1086294	|	synonym	|	Rapuntium (synonym for Lobelia)	|	gbif:2756426,irmng:1299058	|	
Unigenes	|	1086294	|	synonym	|	Unigenes (synonym for Lobelia)	|	gbif:2756426	|	
Pratia	|	1086294	|	synonym	|	Pratia (synonym for Lobelia)	|	gbif:2756426	|	
Solenopsis	|	1086294	|	synonym	|	Solenopsis (synonym for Lobelia)	|	gbif:2756426	|	
Jasionaceae	|	1086303	|	synonym	|	Jasionaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Lobeliaceae	|	1086303	|	synonym	|	Lobeliaceae (synonym for Campanulaceae)	|	gbif:8801,irmng:112583	|	
Cyphiaceae	|	1086303	|	synonym	|	Cyphiaceae (synonym for Campanulaceae)	|	gbif:8801,irmng:112583	|	
Nemacladaceae	|	1086303	|	synonym	|	Nemacladaceae (synonym for Campanulaceae)	|	gbif:8801,irmng:112583	|	
Cyananthaceae	|	1086303	|	synonym	|	Cyananthaceae (synonym for Campanulaceae)	|	gbif:8801	|	
Cyphocarpaceae	|	1086303	|	synonym	|	Cyphocarpaceae (synonym for Campanulaceae)	|	gbif:8801,irmng:112583	|	
Osteichthyes	|	114654	|	synonym	|	Osteichthyes (synonym for Euteleostomi)	|	ncbi:117571	|	
Haptophyceae	|	151014	|	synonym	|	Haptophyceae (synonym for Haptophyta)	|	ncbi:2830	|	
T58	|	151014	|	proparte synonym	|	T58 (synonym for Haptophyta)	|	silva:L34669/#2	|	
Prymnesiophyceae	|	151014	|	synonym	|	Prymnesiophyceae (synonym for Haptophyta)	|	ncbi:2830	|	
Prymnesiophyta	|	151014	|	synonym	|	Prymnesiophyta (synonym for Haptophyta)	|	ncbi:2830	|	
Haptomonada	|	151014	|	synonym	|	Haptomonada (synonym for Haptophyta)	|	worms:369190,gbif:70	|	
Filicophyta	|	166292	|	includes	|	Filicophyta (synonym for Moniliformopses)	|	ncbi:241806	|	
ferns	|	166292	|	synonym	|	ferns (synonym for Moniliformopses)	|	ncbi:241806	|	
Aquila antiqua	|	244265	|	synonym	|	Aquila antiqua (synonym for Mammalia)	|	gbif:359	|	
Archaeorycteropus patagonicus	|	244265	|	synonym	|	Archaeorycteropus patagonicus (synonym for Mammalia)	|	gbif:359	|	
Prostylophorus margeriei	|	244265	|	synonym	|	Prostylophorus margeriei (synonym for Mammalia)	|	gbif:359	|	
Proplanodus adnepos	|	244265	|	synonym	|	Proplanodus adnepos (synonym for Mammalia)	|	gbif:359	|	
Anisorhizus atriarius	|	244265	|	synonym	|	Anisorhizus atriarius (synonym for Mammalia)	|	gbif:359	|	
Isolophodon aplanatus	|	244265	|	synonym	|	Isolophodon aplanatus (synonym for Mammalia)	|	gbif:359	|	
Phoca aegyptiaca	|	244265	|	synonym	|	Phoca aegyptiaca (synonym for Mammalia)	|	gbif:359	|	
Trichechus hydropithecus	|	244265	|	synonym	|	Trichechus hydropithecus (synonym for Mammalia)	|	gbif:359	|	
Protobradys harmonicus	|	244265	|	synonym	|	Protobradys harmonicus (synonym for Mammalia)	|	gbif:359	|	
Aquila ferox	|	244265	|	synonym	|	Aquila ferox (synonym for Mammalia)	|	gbif:359	|	
Stenogenium aenigmaticum	|	244265	|	synonym	|	Stenogenium aenigmaticum (synonym for Mammalia)	|	gbif:359	|	
Diplodon ampliatus	|	244265	|	synonym	|	Diplodon ampliatus (synonym for Mammalia)	|	gbif:359	|	
Pachypithecus macrognathus	|	244265	|	synonym	|	Pachypithecus macrognathus (synonym for Mammalia)	|	gbif:359	|	
Praephoca	|	244265	|	synonym	|	Praephoca (synonym for Mammalia)	|	gbif:359	|	
