name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
euphyllophytes	|	1007992	|	synonym	|	euphyllophytes (synonym for Euphyllophyta)	|	ncbi:78536	|	
Asteridae	|	1008294	|	equivalent name	|	Asteridae (synonym for asterids)	|	ncbi:71274	|	
Pteridophyta	|	10210	|	synonym	|	Pteridophyta (synonym for Tracheophyta)	|	gbif:7707728,irmng:227	|	
Equisetophyta	|	10210	|	synonym	|	Equisetophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Gnetophyta	|	10210	|	synonym	|	Gnetophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Cycadophyta	|	10210	|	synonym	|	Cycadophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Lycopodiophyta	|	10210	|	synonym	|	Lycopodiophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Ginkgophyta	|	10210	|	synonym	|	Ginkgophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Psilophyta	|	10210	|	synonym	|	Psilophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Magnoliophyta	|	10210	|	synonym	|	Magnoliophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Eodelopterum priscum	|	10210	|	synonym	|	Eodelopterum priscum (synonym for Tracheophyta)	|	gbif:7707728	|	
Legnophora	|	10210	|	synonym	|	Legnophora (synonym for Tracheophyta)	|	gbif:7707728	|	
Legnophora girardi	|	10210	|	synonym	|	Legnophora girardi (synonym for Tracheophyta)	|	gbif:7707728	|	
Arthrophyta	|	10210	|	synonym	|	Arthrophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Coniferophyta	|	10210	|	synonym	|	Coniferophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Eodelopterum	|	10210	|	synonym	|	Eodelopterum (synonym for Tracheophyta)	|	gbif:7707728	|	
Polypodiophyta	|	10210	|	synonym	|	Polypodiophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Pterophyta	|	10210	|	synonym	|	Pterophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Microphyllophyta	|	10210	|	synonym	|	Microphyllophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Psilotophyta	|	10210	|	synonym	|	Psilotophyta (synonym for Tracheophyta)	|	gbif:7707728	|	
Microcoleus chthonoplastes WIS	|	1021000	|	synonym	|	Microcoleus chthonoplastes WIS (synonym for Coleofasciculus chthonoplastes WIS)	|	ncbi:450460	|	
Microcoleus chthonoplastes WW11	|	1021004	|	synonym	|	Microcoleus chthonoplastes WW11 (synonym for Coleofasciculus chthonoplastes WW11)	|	ncbi:450463	|	
Arcobacter sp. F79-2	|	1021006	|	includes	|	Arcobacter sp. F79-2 (synonym for Arcobacter ellisii)	|	ncbi:913109	|	
Arcobacter sp. F79-6	|	1021006	|	includes	|	Arcobacter sp. F79-6 (synonym for Arcobacter ellisii)	|	ncbi:913109	|	
Arcobacter sp. F79-7	|	1021006	|	includes	|	Arcobacter sp. F79-7 (synonym for Arcobacter ellisii)	|	ncbi:913109	|	
Lactobacillus sp. LuE10	|	1021064	|	includes	|	Lactobacillus sp. LuE10 (synonym for Lactobacillus nagelii)	|	ncbi:82688	|	
Actinomyces globisporus	|	102103	|	synonym	|	Actinomyces globisporus (synonym for Streptomyces globisporus)	|	ncbi:1908,gbif:3223711,irmng:10033856	|	
Streptomyces globisporus subsp. globisporus	|	102103	|	synonym	|	Streptomyces globisporus subsp. globisporus (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. globisporus	|	102103	|	synonym	|	Actinomyces globisporus subsp. globisporus (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. flaveolus	|	102103	|	synonym	|	Actinomyces globisporus subsp. flaveolus (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. vulgaris	|	102103	|	synonym	|	Actinomyces globisporus subsp. vulgaris (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. lactis	|	102103	|	synonym	|	Actinomyces globisporus subsp. lactis (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. diastaticus	|	102103	|	synonym	|	Actinomyces globisporus subsp. diastaticus (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Actinomyces globisporus subsp. griseus	|	102103	|	synonym	|	Actinomyces globisporus subsp. griseus (synonym for Streptomyces globisporus)	|	gbif:3223711	|	
Salmonella enteritidis serotype muenster	|	1021061	|	synonym	|	Salmonella enteritidis serotype muenster (synonym for Salmonella enterica subsp. enterica serovar Muenster)	|	ncbi:82689	|	
Salmonella muenster	|	1021061	|	synonym	|	Salmonella muenster (synonym for Salmonella enterica subsp. enterica serovar Muenster)	|	ncbi:82689	|	
Penstemon cordifolius	|	1021051	|	synonym	|	Penstemon cordifolius (synonym for Keckiella cordifolia)	|	ncbi:155435,gbif:3170791,irmng:11184686	|	
Keckia cordifolia	|	1021051	|	synonym	|	Keckia cordifolia (synonym for Keckiella cordifolia)	|	gbif:3170791	|	
Penstemon cordatus	|	1021051	|	synonym	|	Penstemon cordatus (synonym for Keckiella cordifolia)	|	gbif:3170791	|	
Penstemon lemmonii	|	1021046	|	synonym	|	Penstemon lemmonii (synonym for Keckiella lemmonii)	|	ncbi:155434,gbif:3170793,irmng:10590822	|	
Keckia lemmonii	|	1021046	|	synonym	|	Keckia lemmonii (synonym for Keckiella lemmonii)	|	gbif:3170793	|	
Penstemon breviflorus	|	1021056	|	synonym	|	Penstemon breviflorus (synonym for Keckiella breviflora)	|	ncbi:155433,gbif:3170795,irmng:10588387	|	
Penstemon canoso-barbatus	|	1021056	|	synonym	|	Penstemon canoso-barbatus (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Penstemon breviflorus subsp. typicus	|	1021056	|	synonym	|	Penstemon breviflorus subsp. typicus (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Penstemon breviflorus var. carinatus	|	1021056	|	synonym	|	Penstemon breviflorus var. carinatus (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Keckia breviflora	|	1021056	|	synonym	|	Keckia breviflora (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Penstemon carinatus	|	1021056	|	synonym	|	Penstemon carinatus (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Penstemon breviflorus var. canoso-barbatus	|	1021056	|	synonym	|	Penstemon breviflorus var. canoso-barbatus (synonym for Keckiella breviflora)	|	gbif:3170795	|	
Penstemon rothrockii	|	1021040	|	synonym	|	Penstemon rothrockii (synonym for Keckiella rothrockii)	|	ncbi:155437,gbif:3170790,irmng:10456114	|	
Rothrock's keckiella	|	1021040	|	synonym	|	Rothrock's keckiella (synonym for Keckiella rothrockii)	|	ncbi:155437	|	
Keckia rothrockii	|	1021040	|	synonym	|	Keckia rothrockii (synonym for Keckiella rothrockii)	|	gbif:3170790	|	
Penstemon rothrockii subsp. typicus	|	1021040	|	synonym	|	Penstemon rothrockii subsp. typicus (synonym for Keckiella rothrockii)	|	gbif:3170790	|	
Penstemon stenophyllus var. dasyphyllus	|	1021072	|	synonym	|	Penstemon stenophyllus var. dasyphyllus (synonym for Penstemon dasyphyllus)	|	gbif:3171443	|	
Penstemon pringlei	|	1021072	|	synonym	|	Penstemon pringlei (synonym for Penstemon dasyphyllus)	|	gbif:3171443	|	
Chelone major	|	1021074	|	synonym	|	Chelone major (synonym for Chelone lyonii)	|	gbif:5414946	|	
Calophanes californica	|	1021026	|	synonym	|	Calophanes californica (synonym for Ruellia californica)	|	gbif:7264163	|	
? brevicauda	|	1021077	|	synonym	|	? brevicauda (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Charmon pectoralis	|	1021077	|	synonym	|	Charmon pectoralis (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Charmon brevicauda	|	1021077	|	synonym	|	Charmon brevicauda (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Charmon luteus	|	1021077	|	synonym	|	Charmon luteus (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Charmon pleuralis	|	1021077	|	synonym	|	Charmon pleuralis (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Blacometeorus brevicauda	|	1021077	|	synonym	|	Blacometeorus brevicauda (synonym for Charmon cruentatus)	|	gbif:1254540	|	
Bracon chontalensis	|	1021075	|	synonym	|	Bracon chontalensis (synonym for Capitonius chontalensis)	|	gbif:1262336	|	
Digonogastra chontalensis	|	1021075	|	homotypic synonym	|	Digonogastra chontalensis (synonym for Capitonius chontalensis)	|	gbif:1262336	|	
Alysiasta chontalensis	|	1021075	|	homotypic synonym	|	Alysiasta chontalensis (synonym for Capitonius chontalensis)	|	gbif:1262336	|	
Odontocolon aciculatum	|	1021089	|	synonym	|	Odontocolon aciculatum (synonym for Odontocolon albotibiale)	|	gbif:1287147	|	
Odontocolon striatum	|	1021089	|	synonym	|	Odontocolon striatum (synonym for Odontocolon albotibiale)	|	gbif:1287147	|	
Stryphnus radiocrusta	|	1021809	|	synonym	|	Stryphnus radiocrusta (synonym for Asteropus radiocrusta)	|	worms:597550,gbif:6486294,irmng:11742702	|	
Alveococcus	|	1021829	|	synonym	|	Alveococcus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Acephalocyctis	|	1021829	|	synonym	|	Acephalocyctis (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Acephalocystis	|	1021829	|	synonym	|	Acephalocystis (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Diskostoma	|	1021829	|	synonym	|	Diskostoma (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Hydalus	|	1021829	|	synonym	|	Hydalus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Acephalocystus	|	1021829	|	synonym	|	Acephalocystus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Splanchnococcus	|	1021829	|	synonym	|	Splanchnococcus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Acephalocistis	|	1021829	|	synonym	|	Acephalocistis (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Liococcus	|	1021829	|	synonym	|	Liococcus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinococcifer	|	1021829	|	synonym	|	Echinococcifer (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinoroccus	|	1021829	|	synonym	|	Echinoroccus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinokokkus	|	1021829	|	synonym	|	Echinokokkus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinococcos	|	1021829	|	synonym	|	Echinococcos (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echynococus	|	1021829	|	synonym	|	Echynococus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Ecchinococcus	|	1021829	|	synonym	|	Ecchinococcus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinococcis	|	1021829	|	synonym	|	Echinococcis (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Splanchococcus	|	1021829	|	synonym	|	Splanchococcus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Hydatis	|	1021829	|	synonym	|	Hydatis (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Sphaeridion	|	1021829	|	synonym	|	Sphaeridion (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Discostoma	|	1021829	|	synonym	|	Discostoma (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Astoma	|	1021829	|	synonym	|	Astoma (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Echinococus	|	1021829	|	synonym	|	Echinococus (synonym for Echinococcus (genus in Lophotrochozoa))	|	gbif:3268465,irmng:1308129	|	
Taeniarhynchus saginatum	|	1021818	|	synonym	|	Taeniarhynchus saginatum (synonym for Taenia saginata)	|	gbif:2506020,irmng:11340349	|	
Cysticercus cellulosae	|	1021812	|	synonym	|	Cysticercus cellulosae (synonym for Taenia solium)	|	ncbi:6204	|	
Taenia cellulosae	|	1021812	|	misnomer	|	Taenia cellulosae (synonym for Taenia solium)	|	ncbi:6204	|	
Globodera tabacum 'azteca'	|	1021802	|	includes	|	Globodera tabacum 'azteca' (synonym for Globodera tabacum ssp. 'azteca')	|	ncbi:462285	|	
Wissadula paraguariensis	|	1021861	|	synonym	|	Wissadula paraguariensis (synonym for Wissadula periplocifolia)	|	gbif:3934059	|	
Wissadula oligomera	|	1021861	|	synonym	|	Wissadula oligomera (synonym for Wissadula periplocifolia)	|	gbif:3934059	|	
Abutilon periplocifolium	|	1021861	|	heterotypic synonym	|	Abutilon periplocifolium (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Sida periplocifolia var. peruviana	|	1021861	|	synonym	|	Sida periplocifolia var. peruviana (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Sida rostrata	|	1021861	|	synonym	|	Sida rostrata (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
Sida integrifolia	|	1021861	|	proparte synonym	|	Sida integrifolia (synonym for Wissadula periplocifolia)	|	gbif:3152302	|	
